distance_to_3_end	read_number
202	1.5
203	0
204	0
205	0
206	0
207	0
208	1.06666666666667
209	0
210	0
211	3.05882352941176
212	0
213	1
214	1.57692307692308
215	0
216	0
217	2.12121212121212
218	2.56666666666667
219	0
220	2.12727272727273
221	3.18181818181818
222	0
223	0
224	0
225	0
226	1
227	0
228	0
229	0.518518518518518
230	5.375
231	0
232	0
233	0
234	0
235	1
236	0
237	0.833333333333333
238	1
239	3.05882352941176
240	1
241	2
242	6.99569634034861
243	1.07692307692308
244	0
245	0
246	3
247	0
248	0
249	0
250	0.888888888888889
251	0
252	0
253	1.66666666666667
254	1
255	0
256	0
257	0
258	1.5
259	1.625
260	0
261	0
262	0
263	0.663157894736842
264	0
265	0
266	0
267	0
268	0
269	0
270	0
271	0
272	0
273	0.685714285714286
274	0
275	0
276	0
277	0
278	0
279	2.68571428571429
280	0
281	1.07692307692308
282	0
283	0
284	0
285	0
286	0
287	0
288	0
289	1
290	4.3
291	4.59016393442623
292	1.06666666666667
293	1
294	2.13333333333333
295	0
296	0
297	0
298	1.06666666666667
299	0
300	1
301	1
302	1
303	0
304	0
305	0
306	7.09246031746032
307	0
308	0
309	0
310	1.5
311	1.4
312	1.06666666666667
313	0
314	0
315	1.85
316	0
317	0.538461538461538
318	1
319	0
320	1.82028985507246
321	4.57142857142857
322	4.3302752293578
323	0
324	1.85135135135135
325	1.2
326	0
327	0
328	0
329	0
330	3
331	0
332	0
333	0
334	0
335	0.888888888888889
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0.833333333333333
352	0
353	1
354	0
355	0
356	0
357	0
358	0
359	2
360	0
361	0
362	0
363	1.25
364	0
365	0
366	1.75
367	1.2
368	0
369	0.685714285714286
370	0
371	1.3
372	0
373	0
374	3.82926829268293
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	1
383	0
384	0
385	0
386	5.375
387	0
388	0
389	1
390	0
391	0
392	0
393	0
394	1.3
395	0.833333333333333
396	0
397	1.5
398	0
399	7
400	0
401	2
402	1.33333333333333
403	0
404	0.885057471264368
405	0
406	1.66666666666667
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	1
416	0
417	2.5
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	1.25
431	1
432	0
433	0.888888888888889
434	0
435	0
436	0
437	0.685714285714286
438	0.753623188405797
439	0
440	0
441	0
442	0
443	0.685714285714286
444	0
445	0
446	0
447	0
448	0
449	0
450	1.14285714285714
451	0
452	0
453	0
454	1.8
455	0
456	0
457	0
458	0
459	0
460	1.21428571428571
461	0
462	5.375
463	0
464	0
465	1
466	0
467	3.25
468	0
469	0
470	0
471	0
472	0
473	0
474	1
475	0
476	0
477	0
478	2
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	1.34104046242775
489	0
490	1.5
491	0
492	0
493	14.3333333333333
494	0
495	0
496	0
497	1
498	0
499	0
500	1.08333333333333
501	0
502	3.05882352941176
503	0
504	0
505	0
506	0
507	5.375
508	0
509	0
510	0
511	2.42857142857143
512	0
513	1
514	0
515	0
516	0
517	0
518	0
519	0
520	0
521	1.21428571428571
522	0
523	0
524	0
525	1
526	0
527	0
528	3
529	0
530	0
531	0
532	0
533	3.25
534	0
535	0
536	0
537	1.18181818181818
538	0
539	0
540	0
541	0
542	2.8
543	1.8
544	0
545	0
546	0
547	0
548	1
549	0
550	0
551	0
552	0
553	1.21428571428571
554	0
555	0
556	0
557	0
558	4.31380065717415
559	13
560	0
561	0
562	0
563	0
564	0
565	0
566	0
567	0
568	0
569	0
570	0.331578947368421
571	0
572	0
573	14.8222222222222
574	0.833333333333333
575	0
576	0
577	0
578	3.06086956521739
579	0
580	0
581	2.24285714285714
582	0
583	0
584	1.18181818181818
585	1
586	3.57792207792208
587	0
588	3.25
589	0.48
590	0
591	0
592	0
593	0
594	0
595	0
596	0
597	0
598	0
599	0
600	0
601	1
602	0
603	0
604	0
605	3.42857142857143
606	1
607	0
608	0
609	1.21428571428571
610	0.885057471264368
611	0
612	0
613	0
614	14
615	1.33333333333333
616	1
617	0
618	0
619	0
620	0
621	0
622	0
623	0
624	0
625	0
626	0
627	1
628	0
629	0
630	0
631	0
632	0
633	0
634	0
635	1
636	0
637	2
638	0
639	0
640	0
641	14.8222222222222
642	0
643	0
644	0.85
645	0
646	0
647	0
648	0
649	0
650	0
651	0
652	1.66666666666667
653	0
654	0
655	2
656	0
657	2
658	0
659	1.2
660	0
661	0.518518518518518
662	2
663	0
664	0
665	4
666	1
667	0
668	0
669	0
670	0
671	1.07692307692308
672	0
673	0
674	0.666666666666667
675	2
676	1
677	0
678	0
679	0
680	4
681	0
682	0
683	0
684	0
685	0
686	0
687	0
688	0
689	0
690	3
691	0
692	0
693	1
694	0
695	3.25
696	0
697	0
698	1
699	4.3302752293578
700	0
701	0
702	0
703	0
704	0
705	0
706	0
707	0
708	0
709	0
710	0
711	0
712	2
713	0
714	1
715	1
716	0
717	0
718	0
719	0
720	0
721	0
722	0
723	0
724	1.18181818181818
725	0
726	1
727	0
728	0
729	0
730	0
731	0
732	0
733	0.753623188405797
734	0
735	0
736	0
737	0
738	0
739	0
740	0
741	0
742	0
743	0
744	0
745	1.7
746	0
747	0
748	1.18181818181818
749	0.833333333333333
750	0
751	0
752	0
753	0
754	9.7052752293578
755	1
756	0
757	0
758	0
759	0
760	0
761	0
762	0
763	4
764	0.555555555555556
765	0.663157894736842
766	1.7
767	0
768	0
769	0
770	0
771	1
772	1.21428571428571
773	0
774	0
775	0
776	0
777	0
778	1.91025641025641
779	0.25
780	0
781	5.375
782	0
783	2.7
784	0
785	0
786	1
787	0
788	3.9
789	1.3
790	1.10526315789474
791	0
792	0
793	0
794	0
795	0
796	0
797	0
798	0
799	3.5
800	0
801	3.95
802	5
803	0
804	0
805	0
806	0
807	0
808	0
809	0
810	0
811	0
812	0
813	0
814	1
815	0
816	0
817	2.66666666666667
818	0
819	0
820	0
821	0.663157894736842
822	0
823	1
824	0
825	0
826	0
827	0
828	0
829	0
830	0
831	0
832	0
833	2.3
834	0
835	0
836	1.20481927710843
837	0
838	0
839	0
840	0
841	3
842	2.23606927710843
843	0
844	0
845	0
846	0
847	0
848	0
849	0
850	0
851	0
852	1
853	0
854	0
855	0
856	0
857	0
858	0
859	0
860	0
861	0
862	1.20481927710843
863	0
864	1.20481927710843
865	0
866	0.888888888888889
867	0
868	0
869	0
870	0
871	1.20481927710843
872	0
873	0
874	1.20481927710843
875	0
876	0
877	0
878	0
879	0
880	6.6144578313253
881	0
882	3.6144578313253
883	0
884	0
885	0
886	4.57142857142857
887	0.833333333333333
888	0
889	0
890	1.21428571428571
891	0
892	1.04081632653061
893	0
894	0
895	0
896	4.3302752293578
897	0
898	1
899	0
900	0
901	0
902	0.833333333333333
903	0
904	0
905	0
906	0
907	0
908	0
909	1.08333333333333
910	0
911	0
912	1.20481927710843
913	0.555555555555556
914	0
915	0
916	1.07142857142857
917	0
918	0
919	0
920	0
921	0
922	0
923	0
924	0
925	1
926	0
927	0
928	0
929	0
930	0
931	0
932	0
933	0.833333333333333
934	0
935	1.20481927710843
936	0
937	0
938	0
939	0
940	0
