distance_to_3_end	read_number
245	0
246	0
247	0
248	0
249	0
250	0
251	0.666666666666667
252	0
253	0
254	2.64440433212996
255	0.738461538461539
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	1.75
268	0
269	1.33333333333333
270	1
271	0
272	0
273	0
274	3
275	0
276	0
277	0
278	2
279	0
280	1.14285714285714
281	0
282	0
283	0
284	2.09430979978925
285	0
286	1.23076923076923
287	0
288	1
289	1.5
290	1.66666666666667
291	0
292	0
293	0
294	0
295	0
296	0
297	1
298	0
299	0
300	0
301	0
302	3
303	0
304	2.54945054945055
305	5
306	1.14440433212996
307	0
308	0
309	1
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	10
318	0
319	1.42647058823529
320	24
321	0
322	6
323	5.72188235294118
324	0
325	7
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	6.42857142857143
354	0
355	0
356	0.785714285714286
357	0
358	0
359	6.42857142857143
360	90.4444444444444
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0.335616438356164
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0.335616438356164
381	0
382	24
383	0
384	0
385	0
386	0
387	0
388	1.5
389	0
390	0
391	1
392	0
393	0
394	0
395	0
396	0
397	0
398	1.05154639175258
399	0
400	0
401	0
402	3.30171428571429
403	0
404	0
405	0.785714285714286
406	0
407	3.41021004312144
408	0
409	1.4553704360156
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	1.625
420	0
421	0
422	0
423	0
424	0
425	0
426	1.14285714285714
427	1
428	0
429	0.335616438356164
430	1.125
431	0
432	0
433	0
434	1.27472527472527
435	1.14285714285714
436	1.016
437	1.66666666666667
438	0
439	0
440	0
441	1.016
442	0
443	1.016
444	0
445	0
446	0
