distance_to_3_end	read_number
228	0
229	0
230	0
231	0
232	0
233	1.38837209302326
234	0
235	0
236	0
237	0.38755980861244
238	0
239	0
240	0
241	0.88
242	1.46666666666667
243	1.46666666666667
244	0
245	3
246	0
247	0
248	1.2
249	0
250	0
251	0
252	0
253	1
254	0
255	3.33333333333333
256	0
257	0
258	0
259	6.5
260	6.5
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	1.72
269	0
270	0
271	14.2495238095238
272	0.833333333333333
273	0
274	1.72
275	2.85302923976608
276	0
277	1.10204081632653
278	1.72
279	0
280	0
281	0
282	0
283	2.55333333333333
284	0
285	1.04347826086957
286	0
287	0
288	2.17238095238095
289	1.61904761904762
290	0
291	0
292	0.88
293	1
294	1.75
295	1
296	0
297	1.04347826086957
298	0
299	0
300	0
301	3.11111111111111
302	0
303	0
304	0.80952380952381
305	0
306	0.541666666666667
307	0
308	0
309	0
310	0
311	6.89855072463768
312	0
313	0
314	1.46666666666667
315	3
316	1.72
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	0.88
328	0
329	0
330	0
331	0
332	1.04347826086957
333	0
334	1.08393285371703
335	1.08393285371703
336	0
337	0
338	1.08393285371703
339	0
340	0
341	0
342	0
343	0
344	0
345	0.985507246376812
346	0
347	4.25179856115108
348	3.25179856115108
349	8.67146282973621
350	1.08393285371703
351	0.35
352	0
353	1
354	1.08393285371703
355	0
356	1.08393285371703
357	0.857142857142857
358	0
359	0
360	0
361	2.16786570743405
362	1.06666666666667
363	0
364	0
365	1.08393285371703
366	0
367	0.695652173913043
368	0
369	11.2332679311097
370	1.08393285371703
371	0
372	0
373	0
374	1
375	0
376	0.985507246376812
377	0
378	0
379	0
380	0
381	4.92753623188406
382	1.08393285371703
383	1.60671936758893
384	0.388372093023256
385	0
386	0
387	0
388	0
389	2.16786570743405
390	1.10204081632653
391	0
392	2.06944010009384
393	6.28173734304482
394	28.5797101449275
395	16.852048795746
396	8.8695652173913
397	3.25179856115108
398	0
399	0
400	0.5625
401	2
402	0
403	0
404	1
405	0
406	0
407	0
408	0.25
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	3.5
417	0
418	0
419	0
420	0
421	0
422	0.571428571428571
423	0
424	1.25
425	0
426	1.06666666666667
427	9.75
428	0
429	0
430	0.393939393939394
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	6.42857142857143
440	4.92753623188406
441	1
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	2
450	0
451	0
452	0
453	0
454	0
455	0
456	6.5
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	1.5
468	0
469	0
470	0
471	1.35714285714286
472	0
473	0
474	1.75
475	0
476	0
477	0
478	0
479	0
480	3
481	15
482	0
483	0
484	0
485	1.55555555555556
486	1.72368955709061
487	0
488	0.895833333333333
489	0
490	0.388372093023256
491	1.88
492	0
493	1.06666666666667
494	0
495	0
496	0
497	0
498	0.787878787878788
499	0.388372093023256
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0.388372093023256
510	0
511	0
512	0.985507246376812
513	4.14285714285714
514	0
515	0
516	0.678571428571429
517	0
518	0
519	0
520	0
521	0
522	0
523	0
524	0
525	0
526	0
527	0.666666666666667
528	0
529	0
530	0
531	0
532	0
533	0
534	0
535	0
536	5
537	0
538	1.35714285714286
539	0
540	0
541	0
542	1.25
543	2.14285714285714
544	0
545	0
546	0
547	0
548	2.14285714285714
549	0.85
550	0
551	0
552	0
553	1.75
554	0
555	0
556	0
557	0
558	0.833333333333333
559	1.35714285714286
560	0
561	0
562	0
563	0
564	0
565	0
566	0
567	0
568	0
569	0
570	1.76923076923077
571	0
572	1.76923076923077
573	0
574	1.35714285714286
575	0
576	0
577	0
578	2.14285714285714
579	0
580	0
581	0
582	0
583	0
584	0
585	0
586	0
587	0
588	2.5
589	0.144230769230769
590	4
591	0
592	1.33333333333333
593	1.75
594	0
595	0
596	0
597	0
598	0
599	0
600	0
601	0
602	0
603	0
604	0
605	0
606	1
607	0
608	1
609	0
610	0.88
611	0.904761904761905
612	0
613	1
614	0
615	0
616	1
617	0
618	0
619	0
620	1.76923076923077
621	0
622	3.52380952380952
623	0
624	3.57142857142857
625	0
626	0
627	0
628	0
629	0
630	0
631	1.7
632	0
633	0
634	0
635	0
636	0
637	2
638	5
639	0
640	1.28977272727273
641	0.666666666666667
642	0
643	4.92753623188406
644	0
645	0
646	0
647	26.4
648	0
649	0
650	0.452380952380952
651	0
652	1
653	0
654	0
655	0.857142857142857
656	1.08393285371703
657	0
658	14.0911270983213
659	0
660	4.33573141486811
661	0
662	3.08393285371703
663	0
664	3.25179856115108
665	0
666	0
667	0
668	0
669	0
670	0
671	6.50359712230216
672	0
673	0.88
674	0
675	0
676	1
677	0.541666666666667
678	0
679	0
680	0
681	1.08393285371703
682	0
683	0
684	1.08393285371703
685	0
686	3.25179856115108
687	0
688	0
689	0
690	0.388372093023256
691	0
692	1
693	1.08393285371703
694	0
695	0.5625
696	0
697	1.08393285371703
698	4.33573141486811
699	0
700	1.2281636229478
701	5.41966426858513
702	2.16786570743405
703	3.25179856115108
704	0
705	4.33573141486811
706	0
707	0
708	0
709	0
710	0
711	3.17586570743405
712	0
713	0
714	0
715	0.985507246376812
716	6.09823569715656
717	2.16786570743405
718	0
719	5.79466426858513
720	0.857142857142857
721	0
722	2
723	0
724	0
725	0
726	0
727	0.9
728	2.16786570743405
729	0
730	1.08393285371703
731	1.06666666666667
732	0
733	0
734	0
735	0
736	2.08393285371703
737	0
738	0
739	1.60594795539033
740	1.08393285371703
741	0
742	3.8100295880434
743	0
744	0
745	0
746	0
747	0
748	0
749	0
750	0
751	0.560975609756098
752	0
753	0
754	0
755	0
756	0
757	0
758	0
759	0
760	0
761	0
762	0
763	0
764	0.555555555555556
765	0
766	1.71428571428571
767	0
768	0
769	0
770	0
771	0
772	0
773	0
774	1.76923076923077
775	0.546762589928058
776	0
777	0
778	0
779	0
780	0
781	0
782	0
783	0
784	0
785	1.10204081632653
786	1.06666666666667
787	0
788	0.88
789	0
790	0
791	0
792	0
793	1.35714285714286
794	0
795	0
796	0
797	0
798	0
799	0
800	0.456521739130435
801	0
802	0
803	0
804	0
805	0
806	0
807	0
808	0
809	1.06666666666667
810	0
811	0
812	1.35714285714286
813	0
814	0
815	0
816	0
817	0
818	0
819	0
820	0
821	3.2
822	0
823	0
824	0
825	0
826	0
827	0
828	0
829	0
830	0
831	0.833333333333333
832	0
833	0
834	0
835	0
836	0
837	0
838	0
839	0
840	0
841	0
842	0
843	0
844	0
845	0
846	0
847	0
848	0
849	0
850	0
851	0
852	0
853	0
854	0
855	1
856	1.71428571428571
857	6
858	0
859	0
860	0
861	0
862	0
863	0.563218390804598
864	0.388372093023256
865	0
866	0
867	0
868	0
869	0.678571428571429
870	0
871	0
872	0
873	0
874	1
875	0
876	0
877	0
878	0
879	0.5625
880	0
881	0
882	0
883	0
884	1.13513513513514
885	0
886	0
887	0
888	0
889	0
890	0
891	0
892	0
893	0
894	0
895	0
896	0
897	1.30952380952381
898	1
899	0
900	0
901	0
902	1.84502923976608
903	0
904	3.2
905	10.6666666666667
906	0
907	0
908	0
909	0
910	0
